Date,U.S. Natural Gas Number of Gas and Gas Condensate Wells (Count),Alabama Natural Gas Number of Gas and Gas Condensate Wells (Count),Alaska Natural Gas Number of Gas and Gas Condensate Wells (Count),Arizona Natural Gas Number of Gas and Gas Condensate Wells (Count),Arkansas Natural Gas Number of Gas and Gas Condensate Wells (Count),California Natural Gas Number of Gas and Gas Condensate Wells (Count),Colorado Natural Gas Number of Gas and Gas Condensate Wells (Count),Florida Natural Gas Number of Gas and Gas Condensate Wells (Count),Federal Offshore--Gulf of Mexico  Natural Gas Number of Gas and Gas Condensate Wells (Count),Idaho Number of Gas and Gas Condensate Wells of Natural Gas (Number of Elements),Illinois Natural Gas Number of Gas and Gas Condensate Wells (Count),Indiana Natural Gas Number of Gas and Gas Condensate Wells (Count),Kansas Natural Gas Number of Gas and Gas Condensate Wells (Count),Kentucky Natural Gas Number of Gas and Gas Condensate Wells (Count),Louisiana Natural Gas Number of Gas and Gas Condensate Wells (Count),Maryland Natural Gas Number of Gas and Gas Condensate Wells (Count),Michigan Natural Gas Number of Gas and Gas Condensate Wells (Count),Mississippi Natural Gas Number of Gas and Gas Condensate Wells (Count),Missouri Natural Gas Number of Gas and Gas Condensate Wells (Count),Montana Natural Gas Number of Gas and Gas Condensate Wells (Count),Nebraska Natural Gas Number of Gas and Gas Condensate Wells (Count),Nevada Natural Gas Number of Gas and Gas Condensate Wells (Count),New Mexico Natural Gas Number of Gas and Gas Condensate Wells (Count),New York Natural Gas Number of Gas and Gas Condensate Wells (Count),North Dakota Natural Gas Number of Gas and Gas Condensate Wells (Count),Ohio Natural Gas Number of Gas and Gas Condensate Wells (Count),Oklahoma Natural Gas Number of Gas and Gas Condensate Wells (Count),Oregon Natural Gas Number of Gas and Gas Condensate Wells (Count),Pennsylvania Natural Gas Number of Gas and Gas Condensate Wells (Count),South Dakota Natural Gas Number of Gas and Gas Condensate Wells (Count),Tennessee Natural Gas Number of Gas and Gas Condensate Wells (Count),Texas Natural Gas Number of Gas and Gas Condensate Wells (Count),Utah Natural Gas Number of Gas and Gas Condensate Wells (Count),Virginia Natural Gas Number of Gas and Gas Condensate Wells (Count),West Virginia Natural Gas Number of Gas and Gas Condensate Wells (Count),Wyoming Natural Gas Number of Gas and Gas Condensate Wells (Count)
1989,262483,1701,108,3,2830,1214,5125,,,,241,1310,13935,11248,16309,8,1207,543,4,2700,15,,17087,5304,61,34450,27443,18,30000,53,700,48609,834,752,36240,2431
1990,269790,2362,111,5,2952,1162,5741,,,,356,1307,16980,11713,16889,7,1438,585,8,2607,11,,17124,5525,103,34586,24547,19,30300,54,690,50867,822,819,37500,2600
1991,276987,3392,110,6,2780,1377,5562,,,,373,1334,17948,12169,15271,7,2620,629,6,2802,12,,20021,5737,100,34760,28216,16,31000,54,650,47615,913,886,37800,2821
1992,276014,3350,112,6,3500,1126,5912,,,,382,1333,18400,12483,13512,9,3257,507,5,2890,22,,18040,5906,104,34784,28902,16,31000,38,600,46298,1006,1153,38250,3111
1993,282152,3514,113,6,3500,1092,6372,,,,385,1336,19472,12836,15569,7,5500,620,8,3075,59,,20846,5757,101,34782,29118,18,31100,47,,47101,1061,1426,33716,3615
1994,291773,3565,104,6,3500,1261,7056,,,,390,1348,19365,13036,12958,7,6000,583,12,2940,87,,23292,5884,104,34731,29121,19,31150,55,,48654,1303,1470,39830,3942
1995,298541,3526,100,7,3988,997,7017,,,,372,1347,22020,13311,14169,7,5258,535,15,2918,87,,23510,6134,99,34520,29733,17,31025,56,,54635,1127,1671,36144,4196
1996,301811,4105,102,7,4020,978,8251,,,,370,1367,21388,13501,15295,8,5826,568,24,2990,88,5,24134,6208,108,34380,29733,18,31792,61,,53816,1339,1671,35148,4510
1997,310971,4156,141,8,3700,930,12433,,,,372,1458,21500,13825,14958,8,6825,560,0,3071,91,5,27421,5731,104,34238,29734,17,32692,60,505,56747,1475,2046,31000,5160
1998,316929,4171,148,8,3900,847,13838,,0,,185,1479,21000,14381,18399,8,7000,527,0,3423,95,4,28200,5903,99,34098,30101,15,21576,59,460,58736,1643,2388,39072,5166
1999,302421,4204,99,8,3650,1152,13838,,,,300,1498,17568,14750,16717,8,6750,560,0,3634,96,4,26007,6422,96,33982,21790,19,23822,60,420,58712,1978,2752,36575,4950
2000,341678,4359,152,9,4000,1169,22442,,,,280,1502,15206,13487,15700,7,7068,997,0,3321,98,4,33948,5775,94,33897,21507,17,36000,71,380,60577,4178,3051,42475,9907
